Name,neighborImmigrant,childrenFaith,childrenHardWork,neighborReligion,HomosexualJustify,EnvImp,fightCountry,trust,SuicideJus,religiousPerson,NationProud,universityManImp,divorceJus,BetterLeader,childrenImagination,neighborRace,childrenThrift
India,35,41.3,81.3,43.9,3.02,37.3,69.3,20.7,3.38,72.8,159,52.1,3.91,70.8,25.4,43.5,55.4
Indonesia,34.2,90.6,59.4,33,1.35,28.1,83.6,37.5,1.28,75.3,137.3,23.3,2.96,75.6,18.2,30.7,47.3
Iran,58.9,71.4,68.8,37.9,1.52,47.4,70,10.5,1.73,80.8,154,68.6,3.13,101.7,17.6,31.2,39.2
Italy,13.9,34.4,39.3,10,3.34,53.8,36.5,27.5,2.07,85,130.1,10.1,5.04,20.3,14.6,11.1,39.4
Jordan,66.3,84,42.6,50.2,1.02,51.5,86.3,30.7,1.06,92.2,168.7,58.1,2.22,131.5,17.8,51.5,25.3
South Korea,38.4,21.5,72.4,26.1,2.81,34.9,72.2,28,2.93,30,107.6,36.2,4.6,69.6,41.1,36.3,72.5
Malaysia,56.6,59.6,49.1,22.4,3.02,48.5,78.5,8.8,2.97,88.8,163.8,58.9,3.58,91.3,21.6,20.6,50.7
Mali,24.5,59.6,72.6,24.1,2.87,36,75.7,14.9,3.36,93.7,184.3,74.1,4.65,116.3,23.6,22,44.1
Mexico,9.7,38.8,24.3,13.5,4.53,58.5,70,15.4,2.56,74.9,178.2,27.6,5.25,31.8,24.6,8.3,39.4
Moldova,18.8,41.6,79.4,25.4,2.33,57.7,57.4,17.6,2.04,81.6,84.6,20.9,4.5,66.9,20.8,23.7,53.2
Morocco,24.2,68.2,51,35.9,,49.4,72.5,12.8,1.35,89.7,149.7,37.2,3.99,77.8,26.2,23.1,45
Netherlands,8.9,9.7,29.3,2.8,7.18,46.8,35.3,42.6,3.8,50.7,105,6.3,6.43,19.3,27.5,7.7,41
New Zealand,7.3,14.6,41.1,,5.43,48.7,47.5,48.5,2.95,45,156.7,6.2,6.66,18.4,35.1,4.1,33.3
Norway,5.4,8.6,12.7,2.6,7.75,76.3,86.1,73.7,3.44,40.9,137.6,4.4,7.25,17.7,54.6,2.8,14
Peru,6,45,54.2,7.3,,61.6,73.2,6.2,,78.8,,14.3,,19.3,12.8,6,11.2
Poland,13.7,46.7,21.3,10.5,3.07,36.9,64.9,18.1,2.26,92,157.8,17.9,4.67,47.8,20.2,12.4,53.5
Romania,16.3,62.8,83.3,14.9,2.08,47.2,56.6,19.3,1.53,91.5,119.5,21.4,4.22,62.9,18.1,17.8,53
Russia,31.9,11,88.6,15.6,2.46,47.2,60.3,24.6,2.22,65.3,125.1,38.6,5.41,80.9,14.2,16.7,52.5
Rwanda,36,37.6,83.1,36.1,1.53,57.7,90.3,4.8,1.69,93.8,177.4,35.7,2.87,61.1,18,36.8,24.1
Viet Nam,37,6.1,88.9,34.3,1.86,57.3,89,50.9,1.71,38.3,178.5,23.7,2.46,67.5,16.4,35.1,59.9
Slovenia,17.6,16.3,33.8,13,5.48,50,60.2,17.5,3.8,64,141.4,14.2,6.96,35.9,16.3,14.5,40.4
South Africa,24.4,56.2,70.7,4.4,2.97,25.4,54.1,,2.4,79.7,173.1,25.8,3.85,62.4,15.6,7.9,36.9
Spain,6.5,11.2,62.6,5.7,6.66,56.4,38.6,19.8,3.06,44.3,150.3,16.9,7.09,24.3,20.4,6.8,18.9
Sweden,1.8,6.1,10.6,1.2,8.43,63.3,79.7,65.2,4.39,32.7,124.3,1.1,8.38,9.1,57.1,1.4,38.3
Switzerland,6.9,12.6,20.3,4.4,7.34,70.8,53,51.2,4.56,62.6,106.1,10.8,6.89,18.9,48.1,5.4,23.3
Thailand,43.1,29.5,22.9,27,3.09,44.9,87.7,41.3,2.43,35.5,183.9,31.8,3.3,60.7,28.5,27.2,57.7
Trinidad and Tobago,4.8,68.9,63.9,2.1,1.95,56.8,63.8,3.8,1.84,82.7,187.7,9.4,3.58,29.9,6.3,2.5,32.3
Turkey,30.6,42.2,78.8,33.4,1.74,53.2,93.9,4.8,1.52,81,166.8,25.8,3.43,75.1,22.3,29.9,38.9
Ukraine,18.6,15.6,76.8,12.8,2.52,43.5,56.4,24.5,2.16,74.4,99.8,44.1,4.89,66.8,28,11.8,40.8
United Kingdom,14.2,18.8,43.5,1.8,5.69,57.9,50.4,30,3.82,47.2,134.6,8.5,6.4,21.7,37.4,4.8,25.4
United States,12.7,50.6,61.7,2.5,4.57,52.4,60.9,39.1,2.85,69,150,8.7,5.83,28.5,31.7,4,29.9
Burkina Faso,11.5,68.1,80.4,12,1.76,44.6,73.5,13.8,2.31,87.7,177.4,47.1,3.52,79.8,19.2,10,47.5
Uruguay,5.2,18.2,22.3,6,5.66,42.9,41.7,24.6,3,56.2,166.2,7.5,7.08,20.6,32.2,3.9,23
Serbia and Montenegro,24.4,25.1,67.5,13.9,4.66,54.3,48.2,13.6,4.42,76.1,116.5,17.3,5.01,51.6,21.6,18,35
Zambia,27.5,60.9,81.1,26.1,2.62,33.9,55.7,10.8,2.82,82.2,147.9,32.7,4.57,65.1,20.3,29.5,23.5
Colombia,,47.7,19,8.1,3.71,69.8,,14.3,1.4,79.9,188.2,12.1,4.65,35.4,17.8,4.3,48.2
Iraq,,89.9,63.4,30.7,,,30.3,38.6,,51.6,177.2,70.7,1.65,154.5,9.1,,31.6
Japan,,5.6,32.4,,4.77,36.4,15.1,36.6,2.88,21.2,78.3,22,6.45,34.4,30.8,,52.3
Egypt,,89.8,57,,,45,79.5,18.5,1.15,92.3,171.1,64.9,4.97,165.2,10.5,,27.2
